"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Yefry Castillo","1","1","0","0","0","0","0","0","0","0","0","0","0",".216",".255",".298",".553",".245","0.0","0.0","0.0","sa505948"
"Robert Stock","1","1","0","0","0","0","0","0","0","0","0","0","0",".205",".262",".284",".546",".245","0.0","0.0","0.0","sa500827"
"Tim Roberson","1","1","0","0","0","0","0","0","0","0","0","0","0",".211",".251",".301",".552",".244","0.0","0.0","0.0","sa546786"
"Hector Paez","1","1","0","0","0","0","0","0","0","0","0","0","0",".216",".251",".303",".554",".244","0.0","0.0","0.0","sa508233"
"Adam Ehrlich","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".259",".287",".546",".244","0.0","0.0","0.0","sa597980"
"Tyson Van Winkle","1","1","0","0","0","0","0","0","0","0","0","0","0",".210",".257",".291",".548",".244","0.0","0.0","0.0","sa501626"
"Jorge Alfaro","1","1","0","0","0","0","0","0","0","0","0","0","0",".203",".247",".302",".549",".244","0.0","0.0","0.0","sa551307"
"Kellin Deglan","1","1","0","0","0","0","0","0","0","0","0","0","0",".191",".248",".297",".545",".244","0.0","0.0","0.0","sa548189"
"Mario Santana","1","1","0","0","0","0","0","0","0","0","0","0","0",".213",".265",".278",".543",".244","0.0","0.0","0.0","sa187685"
"Michael Pericht","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".246",".304",".550",".244","0.0","0.0","0.0","sa501923"
"Steven Rodriguez","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".258",".282",".540",".243","0.0","0.0","0.0","sa598488"
"Eric Roof","1","1","0","0","0","0","0","0","0","0","0","0","0",".206",".255",".291",".546",".243","0.0","0.0","0.0","sa502007"
"Drew Butera","32","30","6","1","0","0","3","3","2","7","0","0","0",".200",".251",".293",".544",".243","0.0","0.0","0.0","3411"
"Fernando Flores","1","1","0","0","0","0","0","0","0","0","0","0","0",".214",".254",".296",".550",".243","0.0","0.0","0.0","sa594366"
"James Rice","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".259",".282",".541",".243","0.0","0.0","0.0","sa550398"
